Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita,Weighted_Degree,Betweenness
Southern Europe,2012,Rice,2943130.72,NA,"China, Macao SAR",587446,0,0,5010.044701981118,0,0
Southern Europe,2012,Rice,2943130.72,NA,"China, mainland",1369520864,0,0,2.149022185323932,0,0
Southern Europe,2012,Rice,2943130.72,NA,"China, Taiwan Province of",23345961,0,0,126.06594862383264,0,0
Southern Europe,2012,Rice,2943130.72,NA,CÃ´te d'Ivoire,23467078,0,0,125.41530394197352,0,0
Southern Europe,2012,Rice,2943130.72,NA,CuraÃ§ao,160890,0,0,18292.813226427996,0,0
Southern Europe,2012,Rice,2943130.72,NA,Democratic Republic of the Congo,73254618,0,0,40.17672605978233,0,0
Southern Europe,2012,Rice,2943130.72,NA,Iran (Islamic Republic of),79370580,0,0,37.080877070571994,0,0
Southern Europe,2012,Rice,2943130.72,NA,Micronesia (Federated States of),107890,0,0,27278.994531467237,0,0
Southern Europe,2012,Rice,2943130.72,NA,Netherlands (Kingdom of the),16915194,0,0,173.9933174872248,0,0
Southern Europe,2012,Rice,2943130.72,NA,RÃ©union,845058,0,0,3482.7558818447965,0,0
Southern Europe,2012,Rice,2943130.72,NA,Saint BarthÃ©lemy,9197,0,0,320009.86408611503,0,0
Southern Europe,2012,Rice,2943130.72,NA,TÃ¼rkiye,75197199,0,0,39.13883441323393,0,0
Southern Europe,2012,Rice,2943130.72,NA,United States Virgin Islands,104298,0,0,28218.477056127635,0,0
Southern Europe,2012,Rice,2943130.72,NA,Venezuela (Bolivarian Republic of),29553826,0,0,99.58543844712356,0,0
Southern Europe,2012,Rice,2943130.72,NA,Wallis and Futuna Islands,12687,0,0,231980.0362575865,0,0
Southern Europe,2012,Rice,2943130.72,NA,World,7201201883,0,0,0.4086999320138349,0,0
Southern Europe,2012,Rice,2943130.72,NA,Eastern Africa,364896604,0,0,8.065656648314546,0,0
Southern Europe,2012,Rice,2943130.72,NA,Middle Africa,145133649,0,0,20.278761956849856,0,0
Southern Europe,2012,Rice,2943130.72,NA,Northern Africa,218715591,0,0,13.456428535997691,0,0
Southern Europe,2012,Rice,2943130.72,NA,Southern Africa,61244055,0,0,48.05577814858928,0,0
Southern Europe,2012,Rice,2943130.72,NA,Western Africa,338853555,0,0,8.685553616222206,0,0
Southern Europe,2012,Rice,2943130.72,NA,Americas,953741211,0,0,3.085879781701076,0,0
Southern Europe,2012,Rice,2943130.72,NA,Northern America,352164290,0,0,8.357266206633273,0,0
Southern Europe,2012,Rice,2943130.72,NA,Central America,161395796,0,0,18.235485638052182,0,0
Southern Europe,2012,Rice,2943130.72,NA,Caribbean,41925866,0,0,70.19844789848825,0,0
Southern Europe,2012,Rice,2943130.72,NA,South America,398255259,0,0,7.390061156731643,0,0
Southern Europe,2012,Rice,2943130.72,NA,Asia,4339608804,0,0,0.6782018501960805,0,0
Southern Europe,2012,Rice,2943130.72,NA,Central Asia,66087157.99999999,0,0,44.534079071761575,0,0
Southern Europe,2012,Rice,2943130.72,NA,Eastern Asia,1606190383,0,0,1.8323672904222588,0,0
Southern Europe,2012,Rice,2943130.72,NA,Southern Asia,1801150813,0,0,1.6340279219028395,0,0
Southern Europe,2012,Rice,2943130.72,NA,South-eastern Asia,619618612,0,0,4.749906899181395,0,0
Southern Europe,2012,Rice,2943130.72,NA,Western Asia,246561839,0,0,11.936683843439374,0,0
Southern Europe,2012,Rice,2943130.72,NA,Europe,740458244,0,0,3.974742321864135,0,0
Southern Europe,2012,Rice,2943130.72,NA,Eastern Europe,294998951,0,0,9.97674978173058,0,0
Southern Europe,2012,Rice,2943130.72,NA,Northern Europe,101064060,0,0,29.12143763074628,0,0
Southern Europe,2012,Rice,2943130.72,NA,Southern Europe,154364883,0,0,19.06606387930861,0,0
Southern Europe,2012,Rice,2943130.72,NA,Western Europe,190030349,0,0,15.48768781138217,0,0
Southern Europe,2012,Rice,2943130.72,NA,Oceania,38550171,0,0,76.34546471920967,0,0
Southern Europe,2012,Rice,2943130.72,NA,Australia and New Zealand,27264321,0,0,107.94806589901872,0,0
Southern Europe,2012,Rice,2943130.72,NA,Melanesia,10090432,0,0,291.67539308525147,0,0
Southern Europe,2012,Rice,2943130.72,NA,European Union (27),441999214,0,0,6.658678628328963,0,0
Southern Europe,2012,Rice,2943130.72,NA,Least Developed Countries (LDCs),896874394,0,0,3.2815416960159083,0,0
Southern Europe,2012,Rice,2943130.72,NA,Land Locked Developing Countries (LLDCs),449724497,0,0,6.544297096628917,0,0
Southern Europe,2012,Rice,2943130.72,NA,Small Island Developing States (SIDS),66073254,0,0,44.54345051630119,0,0
Southern Europe,2012,Rice,2943130.72,NA,Low Income Food Deficit Countries (LIFDCs),807714754,0,0,3.643774866591084,0,0
Southern Europe,2012,Rice,2943130.72,NA,Net Food Importing Developing Countries (NFIDCs),1451303596,0,0,2.0279221577840008,0,0
Southern Europe,2012,Wheat,19079654.43,NA,"Ascension, Saint Helena and Tristan da Cunha",5403,0,0,3531307.5013881177,0,0
Southern Europe,2012,Wheat,19079654.43,NA,Bolivia (Plurinational State of),10515807,0,0,1814.3785284381884,0,0
Southern Europe,2012,Wheat,19079654.43,NA,"China, Hong Kong SAR",7201061,0,0,2649.561561830958,0,0
Southern Europe,2012,Wheat,19079654.43,NA,"China, Macao SAR",587446,0,0,32478.992843597534,0,0
Southern Europe,2012,Wheat,19079654.43,NA,"China, mainland",1369520864,0,0,13.931627426451533,0,0
Southern Europe,2012,Wheat,19079654.43,NA,"China, Taiwan Province of",23345961,0,0,817.2571876565715,0,0
Southern Europe,2012,Wheat,19079654.43,NA,CÃ´te d'Ivoire,23467078,0,0,813.0392045400795,0,0
Southern Europe,2012,Wheat,19079654.43,NA,CuraÃ§ao,160890,0,0,118588.19336192428,0,0
Southern Europe,2012,Wheat,19079654.43,NA,Democratic Republic of the Congo,73254618,0,0,260.4566776936848,0,0
Southern Europe,2012,Wheat,19079654.43,NA,Iran (Islamic Republic of),79370580,0,0,240.3869850768383,0,0
Southern Europe,2012,Wheat,19079654.43,NA,Micronesia (Federated States of),107890,0,0,176843.58541106683,0,0
Southern Europe,2012,Wheat,19079654.43,NA,Netherlands (Kingdom of the),16915194,0,0,1127.9595392166357,0,0
Southern Europe,2012,Wheat,19079654.43,NA,RÃ©union,845058,0,0,22577.922970967673,0,0
Southern Europe,2012,Wheat,19079654.43,NA,Saint BarthÃ©lemy,9197,0,0,2074551.965858432,0,0
Southern Europe,2012,Wheat,19079654.43,NA,TÃ¼rkiye,75197199,0,0,253.72825961243583,0,0
Southern Europe,2012,Wheat,19079654.43,NA,United States Virgin Islands,104298,0,0,182934.0392912616,0,0
