Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita,Weighted_Degree,Betweenness,Production_Shocked,Ratio,Imports_Shocked,Exports_Shocked,Availability_After_Shock,Deficit_kg_per_capita,Percent_Drop
Americas,2022,Maize (corn),574476164.4,NA,Iran (Islamic Republic of),89524246,0,0,6416.989699081074,0,0,574476164.4,0.9998248861842252,0,0,6416.989699081074,0,0
Americas,2022,Maize (corn),574476164.4,NA,Micronesia (Federated States of),112114,0,0,5124035.931284228,0,0,574476164.4,0.9998248861842252,0,0,5124035.931284228,0,0
Americas,2022,Maize (corn),574476164.4,NA,Netherlands (Kingdom of the),17904421,0,0,32085.71583521187,0,0,574476164.4,0.9998248861842252,0,0,32085.71583521187,0,0
Americas,2022,Maize (corn),574476164.4,NA,RÃ©union,871540,0,0,659150.6579158731,0,0,574476164.4,0.9998248861842252,0,0,659150.6579158731,0,0
Americas,2022,Maize (corn),574476164.4,NA,Saint BarthÃ©lemy,10920,0,0,52607707.36263736,0,0,574476164.4,0.9998248861842252,0,0,52607707.36263736,0,0
Americas,2022,Maize (corn),574476164.4,NA,TÃ¼rkiye,87058473,0,0,6598.739268031958,0,0,574476164.4,0.9998248861842252,0,0,6598.739268031958,0,0
Americas,2022,Maize (corn),574476164.4,NA,United States Virgin Islands,86507,0,0,6640805.534812212,0,0,574476164.4,0.9998248861842252,0,0,6640805.534812212,0,0
Americas,2022,Maize (corn),574476164.4,NA,Venezuela (Bolivarian Republic of),28213017,0,0,20362.096134560867,0,0,574476164.4,0.9998248861842252,0,0,20362.096134560867,0,0
Americas,2022,Maize (corn),574476164.4,NA,Wallis and Futuna Islands,11478,0,0,50050197.2817564,0,0,574476164.4,0.9998248861842252,0,0,50050197.2817564,0,0
Americas,2022,Maize (corn),574476164.4,NA,World,8021406686,0,0,71.61788285870736,0,0,574476164.4,0.9998248861842252,0,0,71.61788285870736,0,0
Americas,2022,Maize (corn),574476164.4,NA,Eastern Africa,475299909,0,0,1208.6603711089706,0,0,574476164.4,0.9998248861842252,0,0,1208.6603711089706,0,0
Americas,2022,Maize (corn),574476164.4,NA,Middle Africa,199713824,0,0,2876.496743660569,0,0,574476164.4,0.9998248861842252,0,0,2876.496743660569,0,0
Americas,2022,Maize (corn),574476164.4,NA,Northern Africa,264719925,0,0,2170.128162434316,0,0,574476164.4,0.9998248861842252,0,0,2170.128162434316,0,0
Americas,2022,Maize (corn),574476164.4,NA,Southern Africa,71212991,0,0,8067.013564982827,0,0,574476164.4,0.9998248861842252,0,0,8067.013564982827,0,0
Americas,2022,Maize (corn),574476164.4,NA,Western Africa,435937001,0,0,1317.796294148475,0,0,574476164.4,0.9998248861842252,0,0,1317.796294148475,0,0
Americas,2022,Maize (corn),574476164.4,NA,Americas,1034848565,0,0,555.1306575952975,0,0,574476164.4,0.9998248861842252,0,0,555.1306575952975,0,0
Americas,2022,Maize (corn),574476164.4,NA,Northern America,380481775,0,0,1509.8651292824736,0,0,574476164.4,0.9998248861842252,0,0,1509.8651292824736,0,0
Americas,2022,Maize (corn),574476164.4,NA,Central America,179821109,0,0,3194.709272980849,0,0,574476164.4,0.9998248861842252,0,0,3194.709272980849,0,0
Americas,2022,Maize (corn),574476164.4,NA,Caribbean,44052902,0,0,13040.597516140935,0,0,574476164.4,0.9998248861842252,0,0,13040.597516140935,0,0
Americas,2022,Maize (corn),574476164.4,NA,South America,430492778,0,0,1334.4617929920305,0,0,574476164.4,0.9998248861842252,0,0,1334.4617929920303,-2.2737367544323206e-13,-1.703860512434993e-16
Americas,2022,Maize (corn),574476164.4,NA,Asia,4747661033,0,0,121.00193345879924,0,0,574476164.4,0.9998248861842252,0,0,121.00193345879923,-1.4210854715202004e-14,-1.1744320366616911e-16
Americas,2022,Maize (corn),574476164.4,NA,Central Asia,79341768,0,0,7240.526382018611,0,0,574476164.4,0.9998248861842252,0,0,7240.526382018611,0,0
Americas,2022,Maize (corn),574476164.4,NA,Eastern Asia,1663264901,0,0,345.3906614963193,0,0,574476164.4,0.9998248861842252,0,0,345.3906614963193,0,0
Americas,2022,Maize (corn),574476164.4,NA,Southern Asia,2022467287,0,0,284.0471972489313,0,0,574476164.4,0.9998248861842252,0,0,284.0471972489313,0,0
Americas,2022,Maize (corn),574476164.4,NA,South-eastern Asia,684898412,0,0,838.7757283922568,0,0,574476164.4,0.9998248861842252,0,0,838.7757283922568,0,0
Americas,2022,Maize (corn),574476164.4,NA,Western Asia,297688665,0,0,1929.7885070632435,0,0,574476164.4,0.9998248861842252,0,0,1929.7885070632435,0,0
Americas,2022,Maize (corn),574476164.4,NA,Europe,746964086,0,0,769.0813724075082,0,0,574476164.4,0.9998248861842252,0,0,769.0813724075082,0,0
Americas,2022,Maize (corn),574476164.4,NA,Eastern Europe,289050977,0,0,1987.4562278334731,0,0,574476164.4,0.9998248861842252,0,0,1987.4562278334731,0,0
Americas,2022,Maize (corn),574476164.4,NA,Northern Europe,107439461,0,0,5346.97548789825,0,0,574476164.4,0.9998248861842252,0,0,5346.97548789825,0,0
Americas,2022,Maize (corn),574476164.4,NA,Southern Europe,151975351,0,0,3780.0614416741832,0,0,574476164.4,0.9998248861842252,0,0,3780.0614416741832,0,0
Americas,2022,Maize (corn),574476164.4,NA,Western Europe,198498297,0,0,2894.1113001085346,0,0,574476164.4,0.9998248861842252,0,0,2894.1113001085346,0,0
Americas,2022,Maize (corn),574476164.4,NA,Oceania,45049350,0,0,12752.15212650127,0,0,574476164.4,0.9998248861842252,0,0,12752.15212650127,0,0
Americas,2022,Maize (corn),574476164.4,NA,Australia and New Zealand,31332719,0,0,18334.70514959139,0,0,574476164.4,0.9998248861842252,0,0,18334.70514959139,0,0
Americas,2022,Maize (corn),574476164.4,NA,Melanesia,12503827,0,0,45944.0269287155,0,0,574476164.4,0.9998248861842252,0,0,45944.0269287155,0,0
Americas,2022,Maize (corn),574476164.4,NA,European Union (27),449113453,0,0,1279.1337257047162,0,0,574476164.4,0.9998248861842252,0,0,1279.1337257047162,0,0
Americas,2022,Maize (corn),574476164.4,NA,Least Developed Countries (LDCs),1134811910,0,0,506.2302918551498,0,0,574476164.4,0.9998248861842252,0,0,506.2302918551498,0,0
Americas,2022,Maize (corn),574476164.4,NA,Land Locked Developing Countries (LLDCs),566128954,0,0,1014.7443622888788,0,0,574476164.4,0.9998248861842252,0,0,1014.7443622888788,0,0
Americas,2022,Maize (corn),574476164.4,NA,Small Island Developing States (SIDS),72230332,0,0,7953.392272930436,0,0,574476164.4,0.9998248861842252,0,0,7953.392272930436,0,0
Americas,2022,Maize (corn),574476164.4,NA,Low Income Food Deficit Countries (LIFDCs),1039281637,0,0,552.7627391342045,0,0,574476164.4,0.9998248861842252,0,0,552.7627391342045,0,0
Americas,2022,Maize (corn),574476164.4,NA,Net Food Importing Developing Countries (NFIDCs),1780529299,0,0,322.6434772641166,0,0,574476164.4,0.9998248861842252,0,0,322.6434772641166,0,0
Americas,2022,Rice,34206687.81,NA,"Ascension, Saint Helena and Tristan da Cunha",5343,0,0,6402150.067377878,0,0,34206687.81,0.9998248861842252,0,0,6402150.067377878,0,0
Americas,2022,Rice,34206687.81,NA,Bolivia (Plurinational State of),12077154,0,0,2832.3467441087532,0,0,34206687.81,0.9998248861842252,0,0,2832.3467441087532,0,0
Americas,2022,Rice,34206687.81,NA,"China, Hong Kong SAR",7465915,0,0,4581.7140712156515,0,0,34206687.81,0.9998248861842252,0,0,4581.7140712156515,0,0
Americas,2022,Rice,34206687.81,NA,"China, Macao SAR",704356,0,0,48564.48700657055,0,0,34206687.81,0.9998248861842252,0,0,48564.48700657055,0,0
Americas,2022,Rice,34206687.81,NA,"China, mainland",1425179569,0,0,24.00166866972537,0,0,34206687.81,0.9998248861842252,0,0,24.00166866972537,0,0
Americas,2022,Rice,34206687.81,NA,"China, Taiwan Province of",23420111,0,0,1460.5689874825955,0,0,34206687.81,0.9998248861842252,0,0,1460.5689874825957,2.2737367544323206e-13,1.5567472498175408e-16
Americas,2022,Rice,34206687.81,NA,CÃ´te d'Ivoire,30395002,0,0,1125.4050192199363,0,0,34206687.81,0.9998248861842252,0,0,1125.4050192199363,0,0
Americas,2022,Rice,34206687.81,NA,CuraÃ§ao,185345,0,0,184556.84161968224,0,0,34206687.81,0.9998248861842252,0,0,184556.84161968224,0,0
Americas,2022,Rice,34206687.81,NA,Democratic Republic of the Congo,102396968,0,0,334.05957693981725,0,0,34206687.81,0.9998248861842252,0,0,334.05957693981725,0,0
Americas,2022,Rice,34206687.81,NA,Iran (Islamic Republic of),89524246,0,0,382.0941179443165,0,0,34206687.81,0.9998248861842252,0,0,382.0941179443165,0,0
Americas,2022,Rice,34206687.81,NA,Micronesia (Federated States of),112114,0,0,305106.3008188095,0,0,34206687.81,0.9998248861842252,0,0,305106.3008188095,0,0
Americas,2022,Rice,34206687.81,NA,Netherlands (Kingdom of the),17904421,0,0,1910.5162803086455,0,0,34206687.81,0.9998248861842252,0,0,1910.5162803086457,2.2737367544323206e-13,1.19011639830936e-16
Americas,2022,Rice,34206687.81,NA,RÃ©union,871540,0,0,39248.5575074007,0,0,34206687.81,0.9998248861842252,0,0,39248.5575074007,0,0
Americas,2022,Rice,34206687.81,NA,Saint BarthÃ©lemy,10920,0,0,3132480.5686813192,0,0,34206687.81,0.9998248861842252,0,0,3132480.5686813192,0,0
Americas,2022,Rice,34206687.81,NA,TÃ¼rkiye,87058473,0,0,392.91623929585813,0,0,34206687.81,0.9998248861842252,0,0,392.91623929585813,0,0
Americas,2022,Rice,34206687.81,NA,United States Virgin Islands,86507,0,0,395421.0388754668,0,0,34206687.81,0.9998248861842252,0,0,395421.0388754668,0,0
Americas,2022,Rice,34206687.81,NA,Venezuela (Bolivarian Republic of),28213017,0,0,1212.4434550902515,0,0,34206687.81,0.9998248861842252,0,0,1212.4434550902515,0,0
Americas,2022,Rice,34206687.81,NA,Wallis and Futuna Islands,11478,0,0,2980195.836382645,0,0,34206687.81,0.9998248861842252,0,0,2980195.836382645,0,0
Americas,2022,Rice,34206687.81,NA,World,8021406686,0,0,4.264425075180636,0,0,34206687.81,0.9998248861842252,0,0,4.264425075180636,0,0
Americas,2022,Rice,34206687.81,NA,Eastern Africa,475299909,0,0,71.9686395100909,0,0,34206687.81,0.9998248861842252,0,0,71.9686395100909,0,0
Americas,2022,Rice,34206687.81,NA,Middle Africa,199713824,0,0,171.27851805591587,0,0,34206687.81,0.9998248861842252,0,0,171.27851805591587,0,0
Americas,2022,Rice,34206687.81,NA,Northern Africa,264719925,0,0,129.21841002334827,0,0,34206687.81,0.9998248861842252,0,0,129.21841002334827,0,0
Americas,2022,Rice,34206687.81,NA,Southern Africa,71212991,0,0,480.3433661422816,0,0,34206687.81,0.9998248861842252,0,0,480.3433661422816,0,0
Americas,2022,Rice,34206687.81,NA,Western Africa,435937001,0,0,78.46704393417617,0,0,34206687.81,0.9998248861842252,0,0,78.46704393417617,0,0
Americas,2022,Rice,34206687.81,NA,Americas,1034848565,0,0,33.054776289900936,0,0,34206687.81,0.9998248861842252,0,0,33.054776289900936,0,0
Americas,2022,Rice,34206687.81,NA,Northern America,380481775,0,0,89.90361709177793,0,0,34206687.81,0.9998248861842252,0,0,89.90361709177793,0,0
Americas,2022,Rice,34206687.81,NA,Central America,179821109,0,0,190.22620870389585,0,0,34206687.81,0.9998248861842252,0,0,190.22620870389585,0,0
Americas,2022,Rice,34206687.81,NA,Caribbean,44052902,0,0,776.4911335466618,0,0,34206687.81,0.9998248861842252,0,0,776.4911335466618,0,0
Americas,2022,Rice,34206687.81,NA,South America,430492778,0,0,79.4593766913321,0,0,34206687.81,0.9998248861842252,0,0,79.4593766913321,0,0
Americas,2022,Rice,34206687.81,NA,Asia,4747661033,0,0,7.204955781854784,0,0,34206687.81,0.9998248861842252,0,0,7.204955781854784,0,0
Americas,2022,Rice,34206687.81,NA,Central Asia,79341768,0,0,431.13089955343577,0,0,34206687.81,0.9998248861842252,0,0,431.13089955343577,0,0
Americas,2022,Rice,34206687.81,NA,Eastern Asia,1663264901,0,0,20.56598909135521,0,0,34206687.81,0.9998248861842252,0,0,20.56598909135521,0,0
Americas,2022,Rice,34206687.81,NA,Southern Asia,2022467287,0,0,16.913345412246464,0,0,34206687.81,0.9998248861842252,0,0,16.913345412246464,0,0
Americas,2022,Rice,34206687.81,NA,South-eastern Asia,684898412,0,0,49.94417742933824,0,0,34206687.81,0.9998248861842252,0,0,49.94417742933824,0,0
Americas,2022,Rice,34206687.81,NA,Western Asia,297688665,0,0,114.90759250104468,0,0,34206687.81,0.9998248861842252,0,0,114.90759250104469,1.4210854715202004e-14,1.2367202554585595e-16
Americas,2022,Rice,34206687.81,NA,Europe,746964086,0,0,45.79428710311516,0,0,34206687.81,0.9998248861842252,0,0,45.79428710311516,0,0
Americas,2022,Rice,34206687.81,NA,Eastern Europe,289050977,0,0,118.34136720458136,0,0,34206687.81,0.9998248861842252,0,0,118.34136720458137,1.4210854715202004e-14,1.2008357728903995e-16
Americas,2022,Rice,34206687.81,NA,Northern Europe,107439461,0,0,318.3810444655898,0,0,34206687.81,0.9998248861842252,0,0,318.3810444655898,0,0
Americas,2022,Rice,34206687.81,NA,Southern Europe,151975351,0,0,225.08049881062624,0,0,34206687.81,0.9998248861842252,0,0,225.08049881062624,0,0
Americas,2022,Rice,34206687.81,NA,Western Europe,198498297,0,0,172.3273616297071,0,0,34206687.81,0.9998248861842252,0,0,172.3273616297071,0,0
Americas,2022,Rice,34206687.81,NA,Oceania,45049350,0,0,759.3159015612879,0,0,34206687.81,0.9998248861842252,0,0,759.3159015612879,0,0
Americas,2022,Rice,34206687.81,NA,Australia and New Zealand,31332719,0,0,1091.7242072097224,0,0,34206687.81,0.9998248861842252,0,0,1091.7242072097224,0,0
Americas,2022,Rice,34206687.81,NA,Melanesia,12503827,0,0,2735.6974636645245,0,0,34206687.81,0.9998248861842252,0,0,2735.6974636645245,0,0
Americas,2022,Rice,34206687.81,NA,European Union (27),449113453,0,0,76.16491463683677,0,0,34206687.81,0.9998248861842252,0,0,76.16491463683677,0,0
Americas,2022,Rice,34206687.81,NA,Least Developed Countries (LDCs),1134811910,0,0,30.14304618110679,0,0,34206687.81,0.9998248861842252,0,0,30.14304618110679,0,0
Americas,2022,Rice,34206687.81,NA,Land Locked Developing Countries (LLDCs),566128954,0,0,60.42207798825991,0,0,34206687.81,0.9998248861842252,0,0,60.42207798825991,0,0
Americas,2022,Rice,34206687.81,NA,Small Island Developing States (SIDS),72230332,0,0,473.5778842882794,0,0,34206687.81,0.9998248861842252,0,0,473.5778842882794,0,0
Americas,2022,Rice,34206687.81,NA,Low Income Food Deficit Countries (LIFDCs),1039281637,0,0,32.9137806271083,0,0,34206687.81,0.9998248861842252,0,0,32.9137806271083,0,0
Americas,2022,Rice,34206687.81,NA,Net Food Importing Developing Countries (NFIDCs),1780529299,0,0,19.21152762227026,0,0,34206687.81,0.9998248861842252,0,0,19.21152762227026,0,0
Americas,2022,Wheat,119245278.38,NA,"Ascension, Saint Helena and Tristan da Cunha",5343,0,0,22318038.2519184,0,0,119245278.38,0.9998248861842252,0,0,22318038.251918398,-3.725290298461914e-9,-1.6691835798523634e-16
Americas,2022,Wheat,119245278.38,NA,Bolivia (Plurinational State of),12077154,0,0,9873.624065736018,0,0,119245278.38,0.9998248861842252,0,0,9873.624065736018,0,0
Americas,2022,Wheat,119245278.38,NA,"China, Hong Kong SAR",7465915,0,0,15971.957674310515,0,0,119245278.38,0.9998248861842252,0,0,15971.957674310517,1.8189894035458565e-12,1.1388644026220658e-16
Americas,2022,Wheat,119245278.38,NA,"China, Macao SAR",704356,0,0,169296.88734106047,0,0,119245278.38,0.9998248861842252,0,0,169296.88734106047,0,0
Americas,2022,Wheat,119245278.38,NA,"China, mainland",1425179569,0,0,83.67035352862261,0,0,119245278.38,0.9998248861842252,0,0,83.67035352862261,0,0
Americas,2022,Wheat,119245278.38,NA,"China, Taiwan Province of",23420111,0,0,5091.576140693783,0,0,119245278.38,0.9998248861842252,0,0,5091.576140693783,0,0
Americas,2022,Wheat,119245278.38,NA,CÃ´te d'Ivoire,30395002,0,0,3923.1870548980382,0,0,119245278.38,0.9998248861842252,0,0,3923.1870548980387,4.547473508864641e-13,1.1591273740534985e-16
Americas,2022,Wheat,119245278.38,NA,CuraÃ§ao,185345,0,0,643369.2755671855,0,0,119245278.38,0.9998248861842252,0,0,643369.2755671855,0,0
Americas,2022,Wheat,119245278.38,NA,Democratic Republic of the Congo,102396968,0,0,1164.5391529561696,0,0,119245278.38,0.9998248861842252,0,0,1164.5391529561696,0,0
Americas,2022,Wheat,119245278.38,NA,Iran (Islamic Republic of),89524246,0,0,1331.988636687317,0,0,119245278.38,0.9998248861842252,0,0,1331.988636687317,0,0
Americas,2022,Wheat,119245278.38,NA,Micronesia (Federated States of),112114,0,0,1063607.385161532,0,0,119245278.38,0.9998248861842252,0,0,1063607.385161532,0,0
Americas,2022,Wheat,119245278.38,NA,Netherlands (Kingdom of the),17904421,0,0,6660.10246184448,0,0,119245278.38,0.9998248861842252,0,0,6660.10246184448,0,0
Americas,2022,Wheat,119245278.38,NA,RÃ©union,871540,0,0,136821.34885375312,0,0,119245278.38,0.9998248861842252,0,0,136821.34885375312,0,0
Americas,2022,Wheat,119245278.38,NA,Saint BarthÃ©lemy,10920,0,0,10919897.287545787,0,0,119245278.38,0.9998248861842252,0,0,10919897.287545787,0,0
Americas,2022,Wheat,119245278.38,NA,TÃ¼rkiye,87058473,0,0,1369.7147936421995,0,0,119245278.38,0.9998248861842252,0,0,1369.7147936421995,0,0
Americas,2022,Wheat,119245278.38,NA,United States Virgin Islands,86507,0,0,1378446.5809703262,0,0,119245278.38,0.9998248861842252,0,0,1378446.5809703262,0,0
Americas,2022,Wheat,119245278.38,NA,Venezuela (Bolivarian Republic of),28213017,0,0,4226.604988045057,0,0,119245278.38,0.9998248861842252,0,0,4226.604988045057,0,0
Americas,2022,Wheat,119245278.38,NA,Wallis and Futuna Islands,11478,0,0,10389029.30649939,0,0,119245278.38,0.9998248861842252,0,0,10389029.30649939,0,0
Americas,2022,Wheat,119245278.38,NA,World,8021406686,0,0,14.865881141286891,0,0,119245278.38,0.9998248861842252,0,0,14.865881141286893,1.7763568394002505e-15,1.1949219979075368e-16
Americas,2022,Wheat,119245278.38,NA,Eastern Africa,475299909,0,0,250.8842861571009,0,0,119245278.38,0.9998248861842252,0,0,250.88428615710086,-2.842170943040401e-14,-1.1328612830142203e-16
Americas,2022,Wheat,119245278.38,NA,Middle Africa,199713824,0,0,597.080742793248,0,0,119245278.38,0.9998248861842252,0,0,597.080742793248,0,0
Americas,2022,Wheat,119245278.38,NA,Northern Africa,264719925,0,0,450.4582659578798,0,0,119245278.38,0.9998248861842252,0,0,450.4582659578798,0,0
Americas,2022,Wheat,119245278.38,NA,Southern Africa,71212991,0,0,1674.4877122209346,0,0,119245278.38,0.9998248861842252,0,0,1674.4877122209346,0,0
Americas,2022,Wheat,119245278.38,NA,Western Africa,435937001,0,0,273.53786924822197,0,0,119245278.38,0.9998248861842252,0,0,273.53786924822197,0,0
Americas,2022,Wheat,119245278.38,NA,Americas,1034848565,0,0,115.229689070497,0,0,119245278.38,0.9998248861842252,0,0,115.229689070497,0,0
Americas,2022,Wheat,119245278.38,NA,Northern America,380481775,0,0,313.4060189348097,0,0,119245278.38,0.9998248861842252,0,0,313.4060189348097,0,0
Americas,2022,Wheat,119245278.38,NA,Central America,179821109,0,0,663.1328159587761,0,0,119245278.38,0.9998248861842252,0,0,663.1328159587761,0,0
Americas,2022,Wheat,119245278.38,NA,Caribbean,44052902,0,0,2706.8654496359854,0,0,119245278.38,0.9998248861842252,0,0,2706.8654496359854,0,0
Americas,2022,Wheat,119245278.38,NA,South America,430492778,0,0,276.9971634227973,0,0,119245278.38,0.9998248861842252,0,0,276.9971634227973,0,0
Americas,2022,Wheat,119245278.38,NA,Asia,4747661033,0,0,25.11663691892723,0,0,119245278.38,0.9998248861842252,0,0,25.11663691892723,0,0
Americas,2022,Wheat,119245278.38,NA,Central Asia,79341768,0,0,1502.931953570785,0,0,119245278.38,0.9998248861842252,0,0,1502.931953570785,0,0
