ISO3,Production,Imports_Original,Imports_Shocked,Population,Availability_Baseline,Availability_After_Shock,Percent_Drop,Severity
NA,710854812.26,0,0,12077154,58859.464097253374,58859.464097253374,0,Low
NA,710854812.26,0,0,7465915,95213.3545935093,95213.3545935093,0,Low
NA,710854812.26,0,0,704356,1009226.6016900544,1009226.6016900544,0,Low
NA,710854812.26,0,0,1425179569,498.78262902602694,498.78262902602694,0,Low
NA,710854812.26,0,0,23420111,30352.324643551005,30352.324643551005,0,Low
NA,710854812.26,0,0,30395002,23387.227026996083,23387.227026996083,0,Low
NA,710854812.26,0,0,185345,3835306.1170250075,3835306.1170250075,0,Low
NA,710854812.26,0,0,102396968,6942.147078612718,6942.147078612718,0,Low
NA,710854812.26,0,0,89524246,7940.360785166512,7940.360785166512,0,Low
NA,710854812.26,0,0,112114,6340464.279750967,6340464.279750967,0,Low
NA,710854812.26,0,0,17904421,39702.75342944628,39702.75342944628,0,Low
NA,710854812.26,0,0,871540,815630.7366959634,815630.7366959634,0,Low
NA,710854812.26,0,0,10920,65096594.52930403,65096594.52930403,0,Low
NA,710854812.26,0,0,87058473,8165.25707107222,8165.25707107222,0,Low
NA,710854812.26,0,0,86507,8217309.723606182,8217309.723606182,0,Low
NA,710854812.26,0,0,28213017,25195.987095602006,25195.987095602006,0,Low
NA,710854812.26,0,0,11478,61931940.43038857,61931940.43038857,0,Low
NA,710854812.26,0,0,8021406686,88.61971971832273,88.61971971832273,0,Low
NA,710854812.26,0,0,475299909,1495.5921488720503,1495.5921488720503,0,Low
NA,710854812.26,0,0,199713824,3559.367088479564,3559.367088479564,0,Low
NA,710854812.26,0,0,264719925,2685.3090573367303,2685.3090573367303,0,Low
NA,710854812.26,0,0,71212991,9982.094590859131,9982.094590859131,0,Low
NA,710854812.26,0,0,435937001,1630.6365613135922,1630.6365613135922,0,Low
NA,710854812.26,0,0,1034848565,686.9167492733586,686.9167492733586,0,Low
NA,710854812.26,0,0,380481775,1868.3018713839842,1868.3018713839842,0,Low
NA,710854812.26,0,0,179821109,3953.1221679875193,3953.1221679875193,0,Low
NA,710854812.26,0,0,44052902,16136.390112506095,16136.390112506095,0,Low
NA,710854812.26,0,0,430492778,1651.2583917493732,1651.2583917493732,0,Low
NA,710854812.26,0,0,4747661033,149.7273725565066,149.7273725565066,0,Low
NA,710854812.26,0,0,79341768,8959.402218765783,8959.402218765783,0,Low
NA,710854812.26,0,0,1663264901,427.38520594802117,427.38520594802117,0,Low
NA,710854812.26,0,0,2022467287,351.4790161646753,351.4790161646753,0,Low
NA,710854812.26,0,0,684898412,1037.898175561838,1037.898175561838,0,Low
NA,710854812.26,0,0,297688665,2387.9136018161794,2387.9136018161794,0,Low
NA,710854812.26,0,0,746964086,951.6586213222572,951.6586213222572,0,Low
NA,710854812.26,0,0,289050977,2459.2714393765914,2459.2714393765914,0,Low
NA,710854812.26,0,0,107439461,6616.328913452014,6616.328913452014,0,Low
NA,710854812.26,0,0,151975351,4677.434910217776,4677.434910217776,0,Low
NA,710854812.26,0,0,198498297,3581.1632795015867,3581.1632795015867,0,Low
NA,710854812.26,0,0,45049350,15779.468788339898,15779.468788339898,0,Low
NA,710854812.26,0,0,31332719,22687.300526328403,22687.300526328403,0,Low
NA,710854812.26,0,0,12503827,56850.9794849209,56850.9794849209,0,Low
NA,710854812.26,0,0,449113453,1582.7956332895687,1582.7956332895687,0,Low
NA,710854812.26,0,0,1134811910,626.4076064023685,626.4076064023685,0,Low
NA,710854812.26,0,0,566128954,1255.6411524926175,1255.6411524926175,0,Low
NA,710854812.26,0,0,72230332,9841.499998366337,9841.499998366337,0,Low
NA,710854812.26,0,0,1039281637,683.9866951868408,683.9866951868408,0,Low
NA,710854812.26,0,0,1780529299,399.2379191172186,399.2379191172186,0,Low
NA,346130626.05,0,0,5343,64782074.87366648,64782074.87366648,0,Low
NA,346130626.05,0,0,12077154,28659.94969096196,28659.94969096196,0,Low
NA,346130626.05,0,0,7465915,46361.447464912206,46361.447464912206,0,Low
NA,346130626.05,0,0,704356,491414.32180601853,491414.32180601853,0,Low
NA,346130626.05,0,0,1425179569,242.86808033100564,242.86808033100564,0,Low
NA,346130626.05,0,0,23420111,14779.205190359688,14779.205190359688,0,Low
NA,346130626.05,0,0,30395002,11387.748092597592,11387.748092597592,0,Low
NA,346130626.05,0,0,185345,1867493.7335779222,1867493.7335779222,0,Low
NA,346130626.05,0,0,102396968,3380.2819830563735,3380.2819830563735,0,Low
NA,346130626.05,0,0,89524246,3866.3338873582916,3866.3338873582916,0,Low
NA,346130626.05,0,0,112114,3087309.578197192,3087309.578197192,0,Low
NA,346130626.05,0,0,17904421,19332.13177069507,19332.13177069507,0,Low
NA,346130626.05,0,0,871540,397148.2961768823,397148.2961768823,0,Low
NA,346130626.05,0,0,10920,31696943.777472526,31696943.777472526,0,Low
