ISO3,Year,Weighted_Degree,Betweenness
BGD,2012,261994073.93848452,0.0010104790470134293
BGR,2012,212467079.90101913,6.658948701207487e-4
BHR,2012,42965533.5476332,0
BIH,2012,54451182.76785866,3.7342662791851655e-4
BLR,2012,319384044.9448246,3.3318266962633426e-4
BLZ,2012,5105812.403908604,7.282444118811777e-5
BMU,2012,1174751.9043749743,0
BOL,2012,37154295.86868765,0
BRA,2012,1976099781.1300402,0.0030878515264377853
BRB,2012,10314715.460266376,3.3932044201908995e-4
BRN,2012,59280978.459026955,7.659072528549815e-5
BTN,2012,4898704.692891401,2.651421063995584e-6
BVT,2012,256450.84958985372,0
BWA,2012,65862935.551438145,5.8708034184660434e-5
CAF,2012,1626892.3105122347,2.55642974936631e-5
CAN,2012,3883332863.76328,0.00784779377445417
CCK,2012,31890.843963337647,0
CHE,2012,2239019266.962504,0.005643409531986013
CHL,2012,620690492.0767642,7.16305132034732e-4
CIV,2012,36975711.903343044,0
CMR,2012,46115573.02597711,6.691830281307023e-4
COK,2012,220415.76056643503,0
COL,2012,470134034.9842284,0.0011651294891281414
COM,2012,998768.8237549625,7.495988360338993e-5
CRI,2012,219259290.75069633,0.0013382574485479924
CUB,2012,8305110.4010617575,0
NLD,2012,2001782915.5370533,0
CXR,2012,166706.50449155355,0
CYM,2012,2012877.185420652,0
CYP,2012,48232783.338984974,3.371296396965202e-4
CZE,2012,1176148889.794019,0.0032897375634116962
DJI,2012,467795.5300118114,0
DMA,2012,1153319.9440856262,1.0352758541018716e-4
DNK,2012,771012285.3072215,0.0033887991885967785
DOM,2012,102961876.26639977,0.0014620299778429096
DZA,2012,462368395.99139774,2.2911915465120893e-4
ECU,2012,207170511.39552245,4.725790374823219e-4
ERI,2012,1823396.5118192353,0
ESH,2012,4967.646270588331,0
ESP,2012,2483596041.889863,0.004698383461333332
EST,2012,135500410.27616432,4.444407548814889e-4
FIN,2012,602913169.7923561,0.0017598262205560998
FJI,2012,11658525.504684664,2.982534906207517e-4
FLK,2012,847453.1389404084,0
FRA,2012,5126894281.041776,0.008920505517615848
GAB,2012,66537537.14600842,3.536496305350068e-4
GEO,2012,35875261.42171894,1.8549170900560523e-4
GHA,2012,95997401.99494103,6.718186082662364e-4
GIB,2012,1509845.0620176077,0
GIN,2012,7532846.520071357,0
GNB,2012,713003.2411646543,0
GNQ,2012,55442601.387537256,0
GRC,2012,332027158.8804112,7.245662619908093e-4
GRD,2012,1542786.5121208564,5.880042085762853e-5
GRL,2012,2802802.7881922247,0
GTM,2012,113990916.25903943,3.1368008646135743e-4
GUM,2012,311715.46613096946,0
GUY,2012,13622322.698597334,2.7472893941661835e-4
HND,2012,73687666.17224321,1.927660802708876e-4
HRV,2012,132047650.70296775,0.0017058276982726032
HTI,2012,4632090.424926277,0
HUN,2012,765111839.4715006,6.780257613679992e-4
IDN,2012,1476073120.8156643,0.0036052280183385336
IRL,2012,891122515.5210485,0.0029023123349220703
IRQ,2012,311713165.96202075,0
ISL,2012,16389576.79048134,0
ISR,2012,484850924.58565956,8.517881380037416e-4
ITA,2012,3960541321.3374166,0.004206972572701092
JAM,2012,32544181.53988272,1.5658182853246078e-4
JOR,2012,102802470.7002851,3.1172879996249246e-4
KAZ,2012,440461865.71809965,2.445173482661227e-4
KEN,2012,20654748.853472423,0
KGZ,2012,26497056.518626135,4.97415323086011e-5
KHM,2012,67229901.79999821,2.177595745885764e-4
KIR,2012,237683.97250147897,0
KWT,2012,324799752.8210535,0
LBN,2012,93752466.01692328,0.0013472690005049462
LBR,2012,5449531.581274544,0
LBY,2012,223631381.26221567,0
LKA,2012,113494946.19718602,0.0010913123712584939
LSO,2012,10236276.540498931,7.152426873208338e-6
LTU,2012,224295658.70188934,3.429605423596135e-4
LUX,2012,164785776.02375093,0.0014590258455079554
LVA,2012,109609474.2526974,2.0230401042642464e-4
MAC,2012,3122577.294087277,0
MAR,2012,283640628.0638541,7.719055969292862e-4
MDA,2012,27002738.429814517,1.654352680309212e-4
MDG,2012,16220190.090671008,3.9406157597800793e-4
MDV,2012,7247991.645939673,1.6100902210370925e-5
MEX,2012,3331962141.440826,0.0038959755880120634
MHL,2012,4187911.6592689105,0
MLI,2012,23745263.061363842,0.00015428518801416139
MLT,2012,52568829.91911518,2.702192839139737e-4
MMR,2012,66003188.9851334,1.4054684106084732e-4
MNG,2012,17514712.841004822,0
MNP,2012,10613.753666830287,0
MOZ,2012,43557665.12698665,3.892468245509284e-4
MRT,2012,24840998.20979773,1.8639683097975654e-4
MSR,2012,11675.578880688729,0
MUS,2012,33894537.19384753,8.239159160318318e-4
MWI,2012,16371769.504852654,1.3187082713418533e-4
MYS,2012,1785673174.952095,0.004037257383996667
MYT,2012,146254.94770545268,0
NAM,2012,48540364.532190315,2.0082244054466587e-4
NCL,2012,17420317.57646836,3.0180121894358183e-4
NGA,2012,551687544.3630114,0.001973673024442721
NIC,2012,45840318.94286464,2.1362028347616944e-4
NIU,2012,14073.524359426881,0
NOR,2012,856467338.1754687,0.0012522842817094823
NPL,2012,28021187.765876204,2.4348264263418333e-4
NRU,2012,232121.20474526912,0
NZL,2012,297103237.9877847,0.00323704558470084
OMN,2012,240938297.3720995,1.2087995493137053e-4
PAN,2012,125811813.04993632,1.5697214465847147e-4
PER,2012,416689064.3320803,0.0010361972640519628
PHL,2012,510105939.96890354,0.0011957593788480953
PNG,2012,63010110.19971831,1.8247862261159723e-4
POL,2012,1480260823.1374757,0.0035647339148372997
PRT,2012,549557570.658125,0.0014670305933078877
PRY,2012,77328556.06984103,1.1540991178890731e-4
PYF,2012,857840.0290206509,0
QAT,2012,454404826.93879277,2.197345019866079e-4
ROU,2012,224486810.76913786,0
RUS,2012,3142183366.8880897,0.0020566873822487064
RWA,2012,7772363.469879881,1.0330836899077284e-4
SAU,2012,1840662233.826639,0.001247540654544945
SEN,2012,37104796.17381748,5.428390610674024e-4
SGP,2012,923933600.2091174,0
SHN,2012,79732.96573970332,0
SLB,2012,4339383.764799021,1.847956888358117e-5
SLE,2012,3595033.267095585,0
SLV,2012,66835563.49288457,3.4035347819875647e-4
SMR,2012,493908.5471985124,0
SOM,2012,1839550.5058622041,0
SPM,2012,29699.991851768646,0
STP,2012,631873.5466453264,7.038049990021388e-6
SDN,2012,22199865.804397546,0
SUR,2012,16916414.998920992,6.933258457636901e-5
SVK,2012,559158032.2893368,0.001553124579374502
SVN,2012,223457762.05878365,0.002109725865781761
SWE,2012,1377598354.2826881,0.002889969746837206
SYC,2012,1870323.030630767,0
SYR,2012,8794499.53903674,0
TCD,2012,12772342.585116528,0
TGO,2012,16715418.675102836,1.4065728111127494e-4
THA,2012,1912818959.5257912,0.005574369765801315
TJK,2012,2686994.692836339,0
TKL,2012,194132.63681397165,0
TKM,2012,42294201.13840999,0
TON,2012,39124.52497060017,0
TTO,2012,131089413.82327364,4.56997967344592e-4
TUN,2012,170525334.3528451,7.368722601438344e-4
TUV,2012,101520.84013592821,0
TZA,2012,65592446.279073834,7.853026925304419e-4
UGA,2012,29894333.79888621,5.983567587810027e-4
UKR,2012,624918356.3332428,0.001188192556191401
UMI,2012,94797.95350922295,0
URY,2012,88999878.38660368,2.780197763653593e-4
USA,2012,15628472715.019077,0.007983686877278783
UZB,2012,22221810.253329836,0
VAT,2012,27360.573290668926,0
VEN,2012,323893091.23969775,0
VGB,2012,5854816.776861942,0
VNM,2012,902083451.5957212,0.0010870379694748965
VUT,2012,1363734.419465669,0
WSM,2012,213261.9865920147,0
YEM,2012,71679919.56449784,1.2267920876738562e-4
