Area_x,Year,Item,Production,ISO3,Area_y,Population,Exports,Imports,Net_Food_Availability_Capita
Americas,1992,Rice,26883328.0,,Democratic Republic of the Congo,39228910.0,0,0,685.29377951108
Americas,1992,Rice,26883328.0,,Ethiopia PDR,53652496.0,0,0,501.0638834025541
Americas,1992,Rice,26883328.0,,Iran (Islamic Republic of),61184983.0,0,0,439.37787806527626
Americas,1992,Rice,26883328.0,,Micronesia (Federated States of),104806.0,0,0,256505.6199072572
Americas,1992,Rice,26883328.0,,Netherlands (Kingdom of the),15276785.0,0,0,1759.7503663238044
Americas,1992,Rice,26883328.0,,Netherlands Antilles (former),234523.0,0,0,114629.81455976599
Americas,1992,Rice,26883328.0,,RÃ©union,676420.0,0,0,39743.543951982494
Americas,1992,Rice,26883328.0,,Serbia and Montenegro,8485828.0,0,0,3168.026502540471
Americas,1992,Rice,26883328.0,,Sudan (former),27837104.0,0,0,965.7372404830618
Americas,1992,Rice,26883328.0,,TÃ¼rkiye,57990118.0,0,0,463.58464040373224
Americas,1992,Rice,26883328.0,,United States Virgin Islands,104418.0,0,0,257458.75232239653
Americas,1992,Rice,26883328.0,,Venezuela (Bolivarian Republic of),20780948.0,0,0,1293.6526283593992
Americas,1992,Rice,26883328.0,,Wallis and Futuna Islands,13778.0,0,0,1951177.8197125853
Americas,1992,Rice,26883328.0,,World,5505989092.0,0,0,4.8825610713723515
Americas,1992,Rice,26883328.0,,Eastern Africa,202805020.0,0,0,132.55750769877392
Americas,1992,Rice,26883328.0,,Middle Africa,77389188.0,0,0,347.37834437544427
Americas,1992,Rice,26883328.0,,Northern Africa,154672602.0,0,0,173.80795080954286
Americas,1992,Rice,26883328.0,,Southern Africa,48101554.0,0,0,558.8868916792169
Americas,1992,Rice,26883328.0,,Western Africa,195589449.0,0,0,137.4477413656398
Americas,1992,Rice,26883328.0,,Americas,746446434.0,0,0,36.01507995147043
Americas,1992,Rice,26883328.0,,Northern America,288226643.0,0,0,93.2714884376598
Americas,1992,Rice,26883328.0,,Central America,116817718.0,0,0,230.13056974798977
Americas,1992,Rice,26883328.0,,Caribbean,35016035.0,0,0,767.7433495825555
Americas,1992,Rice,26883328.0,,South America,306386038.0,0,0,87.74331942632452
Americas,1992,Rice,26883328.0,,Asia,3325622564.0,0,0,8.08369785886502
Americas,1992,Rice,26883328.0,,Central Asia,53012114.0,0,0,507.11669412014015
Americas,1992,Rice,26883328.0,,Eastern Asia,1404715566.0,0,0,19.137915639784403
Americas,1992,Rice,26883328.0,,Southern Asia,1255085374.0,0,0,21.41952137831223
Americas,1992,Rice,26883328.0,,South-eastern Asia,457512308.0,0,0,58.759791878648215
Americas,1992,Rice,26883328.0,,Western Asia,155297203.0,0,0,173.10890010040941
Americas,1992,Rice,26883328.0,,Europe,727615967.0,0,0,36.94713862704445
Americas,1992,Rice,26883328.0,,Eastern Europe,311608425.0,0,0,86.27278931883822
Americas,1992,Rice,26883328.0,,Northern Europe,92819819.0,0,0,289.62917930275216
Americas,1992,Rice,26883328.0,,Southern Europe,144204848.0,0,0,186.42457845800024
Americas,1992,Rice,26883328.0,,Western Europe,178982876.0,0,0,150.20055885122775
Americas,1992,Rice,26883328.0,,Oceania,27746313.0,0,0,968.897308986603
Americas,1992,Rice,26883328.0,,Australia and New Zealand,21081533.0,0,0,1275.2074528925386
Americas,1992,Rice,26883328.0,,Melanesia,5645931.0,0,0,4761.540302210566
Americas,1992,Rice,26883328.0,,European Union (27),407244710.0,0,0,66.01271260220912
Americas,1992,Rice,26883328.0,,Least Developed Countries (LDCs),547033343.0,0,0,49.1438563005473
Americas,1992,Rice,26883328.0,,Land Locked Developing Countries (LLDCs),226498971.0,0,0,118.69072906295897
Americas,1992,Rice,26883328.0,,Small Island Developing States (SIDS),50316232.0,0,0,534.2873846356381
Americas,1992,Rice,26883328.0,,Low Income Food Deficit Countries (LIFDCs),475832762.0,0,0,56.4974296578595
Americas,1992,Rice,26883328.0,,Net Food Importing Developing Countries (NFIDCs),910976608.0,0,0,29.51044819802881
Americas,1992,Wheat,115898546.0,,"Ascension, Saint Helena and Tristan da Cunha",6524.0,0,0,17764951.870018393
Americas,1992,Wheat,115898546.0,,Belgium-Luxembourg,10437950.0,0,0,11103.573594431857
Americas,1992,Wheat,115898546.0,,Bolivia (Plurinational State of),7430336.0,0,0,15598.022215953626
Americas,1992,Wheat,115898546.0,,"China, Hong Kong SAR",5759556.0,0,0,20122.826481763524
Americas,1992,Wheat,115898546.0,,"China, Macao SAR",372248.0,0,0,311347.66607208096
Americas,1992,Wheat,115898546.0,,"China, mainland",1184574237.0,0,0,97.83983340167815
Americas,1992,Wheat,115898546.0,,"China, Taiwan Province of",20982088.0,0,0,5523.689825340548
Americas,1992,Wheat,115898546.0,,CÃ´te d'Ivoire,13200310.0,0,0,8779.98668213095
Americas,1992,Wheat,115898546.0,,Czechoslovakia,15618884.0,0,0,7420.41147113968
Americas,1992,Wheat,115898546.0,,Democratic Republic of the Congo,39228910.0,0,0,2954.4166789237834
Americas,1992,Wheat,115898546.0,,Ethiopia PDR,53652496.0,0,0,2160.1706284084157
Americas,1992,Wheat,115898546.0,,Iran (Islamic Republic of),61184983.0,0,0,1894.231890200901
Americas,1992,Wheat,115898546.0,,Micronesia (Federated States of),104806.0,0,0,1105838.8451042878
Americas,1992,Wheat,115898546.0,,Netherlands (Kingdom of the),15276785.0,0,0,7586.579637011321
Americas,1992,Wheat,115898546.0,,Netherlands Antilles (former),234523.0,0,0,494188.39943203866
Americas,1992,Wheat,115898546.0,,RÃ©union,676420.0,0,0,171341.09872564382
Americas,1992,Wheat,115898546.0,,Serbia and Montenegro,8485828.0,0,0,13657.894786460438
Americas,1992,Wheat,115898546.0,,Sudan (former),27837104.0,0,0,4163.455580724201
Americas,1992,Wheat,115898546.0,,TÃ¼rkiye,57990118.0,0,0,1998.591311712799
Americas,1992,Wheat,115898546.0,,United States Virgin Islands,104418.0,0,0,1109947.9591641289
Americas,1992,Wheat,115898546.0,,Venezuela (Bolivarian Republic of),20780948.0,0,0,5577.153939271683
Americas,1992,Wheat,115898546.0,,Wallis and Futuna Islands,13778.0,0,0,8411855.566845696
Americas,1992,Wheat,115898546.0,,World,5505989092.0,0,0,21.049541519869035
Americas,1992,Wheat,115898546.0,,Eastern Africa,202805020.0,0,0,571.4776981358746
Americas,1992,Wheat,115898546.0,,Middle Africa,77389188.0,0,0,1497.606435669024
Americas,1992,Wheat,115898546.0,,Northern Africa,154672602.0,0,0,749.3152924394458
Americas,1992,Wheat,115898546.0,,Southern Africa,48101554.0,0,0,2409.4553369315263
Americas,1992,Wheat,115898546.0,,Western Africa,195589449.0,0,0,592.5603175046523
Americas,1992,Wheat,115898546.0,,Americas,746446434.0,0,0,155.26706367787403
Americas,1992,Wheat,115898546.0,,Northern America,288226643.0,0,0,402.10906526084057
Americas,1992,Wheat,115898546.0,,Central America,116817718.0,0,0,992.1315703153866
Americas,1992,Wheat,115898546.0,,Caribbean,35016035.0,0,0,3309.8706349819445
Americas,1992,Wheat,115898546.0,,South America,306386038.0,0,0,378.27619938738854
Americas,1992,Wheat,115898546.0,,Asia,3325622564.0,0,0,34.85018031047976
Americas,1992,Wheat,115898546.0,,Central Asia,53012114.0,0,0,2186.265312867923
Americas,1992,Wheat,115898546.0,,Eastern Asia,1404715566.0,0,0,82.5067713387893
Americas,1992,Wheat,115898546.0,,Southern Asia,1255085374.0,0,0,92.34315720740763
Americas,1992,Wheat,115898546.0,,South-eastern Asia,457512308.0,0,0,253.32334010126783
Americas,1992,Wheat,115898546.0,,Western Asia,155297203.0,0,0,746.3015673244289
Americas,1992,Wheat,115898546.0,,Europe,727615967.0,0,0,159.28532530402813
Americas,1992,Wheat,115898546.0,,Eastern Europe,311608425.0,0,0,371.93649690312446
Americas,1992,Wheat,115898546.0,,Northern Europe,92819819.0,0,0,1248.640077611011
Americas,1992,Wheat,115898546.0,,Southern Europe,144204848.0,0,0,803.7076950422638
Americas,1992,Wheat,115898546.0,,Western Europe,178982876.0,0,0,647.5398573883682
Americas,1992,Wheat,115898546.0,,Oceania,27746313.0,0,0,4177.079167239265
Americas,1992,Wheat,115898546.0,,Australia and New Zealand,21081533.0,0,0,5497.633687265532
Americas,1992,Wheat,115898546.0,,Melanesia,5645931.0,0,0,20527.800640850906
Americas,1992,Wheat,115898546.0,,European Union (27),407244710.0,0,0,284.5919005307644
Americas,1992,Wheat,115898546.0,,Least Developed Countries (LDCs),547033343.0,0,0,211.86742541944102
Americas,1992,Wheat,115898546.0,,Land Locked Developing Countries (LLDCs),226498971.0,0,0,511.69568448061517
Americas,1992,Wheat,115898546.0,,Small Island Developing States (SIDS),50316232.0,0,0,2303.402726976853
Americas,1992,Wheat,115898546.0,,Low Income Food Deficit Countries (LIFDCs),475832762.0,0,0,243.56991627238983
Americas,1992,Wheat,115898546.0,,Net Food Importing Developing Countries (NFIDCs),910976608.0,0,0,127.22450278328112
Americas,2002,Maize (corn),317415516.51,,"Ascension, Saint Helena and Tristan da Cunha",5850.0,0,0,54259062.65128205
Americas,2002,Maize (corn),317415516.51,,Bolivia (Plurinational State of),8900355.0,0,0,35663.242253820215
Americas,2002,Maize (corn),317415516.51,,"China, Hong Kong SAR",6821408.0,0,0,46532.25793120716
Americas,2002,Maize (corn),317415516.51,,"China, Macao SAR",456014.0,0,0,696065.2885876311
Americas,2002,Maize (corn),317415516.51,,"China, mainland",1286866839.0,0,0,246.65762368751192
Americas,2002,Maize (corn),317415516.51,,"China, Taiwan Province of",22566902.0,0,0,14065.53351939934
Americas,2002,Maize (corn),317415516.51,,CÃ´te d'Ivoire,18654771.0,0,0,17015.245939497192
Americas,2002,Maize (corn),317415516.51,,Democratic Republic of the Congo,53750524.0,0,0,5905.347388055231
Americas,2002,Maize (corn),317415516.51,,Iran (Islamic Republic of),68011317.0,0,0,4667.098514060535
Americas,2002,Maize (corn),317415516.51,,Micronesia (Federated States of),112448.0,0,0,2822776.0076657655
Americas,2002,Maize (corn),317415516.51,,Netherlands (Kingdom of the),16288051.0,0,0,19487.630319305852
Americas,2002,Maize (corn),317415516.51,,Netherlands Antilles (former),230937.0,0,0,1374467.999974019
Americas,2002,Maize (corn),317415516.51,,RÃ©union,781303.0,0,0,406264.30016267695
Americas,2002,Maize (corn),317415516.51,,Serbia and Montenegro,8250510.0,0,0,38472.229778522786
Americas,2002,Maize (corn),317415516.51,,Sudan (former),35825533.0,0,0,8860.03612311923
Americas,2002,Maize (corn),317415516.51,,TÃ¼rkiye,67048795.0,0,0,4734.097257228858
Americas,2002,Maize (corn),317415516.51,,United States Virgin Islands,108418.0,0,0,2927701.2720212513
Americas,2002,Maize (corn),317415516.51,,Venezuela (Bolivarian Republic of),25435671.0,0,0,12479.148535534998
Americas,2002,Maize (corn),317415516.51,,Wallis and Futuna Islands,15024.0,0,0,21127230.864616614
Americas,2002,Maize (corn),317415516.51,,World,6337729671.0,0,0,50.083473576101035
Americas,2002,Maize (corn),317415516.51,,Eastern Africa,267834968.99999997,0,0,1185.1160350536604
Americas,2002,Maize (corn),317415516.51,,Middle Africa,105569806.0,0,0,3006.688451336171
Americas,2002,Maize (corn),317415516.51,,Northern Africa,188792036.0,0,0,1681.2971735206033
Americas,2002,Maize (corn),317415516.51,,Southern Africa,54708269.0,0,0,5801.9659973156895
Americas,2002,Maize (corn),317415516.51,,Western Africa,256505983.0,0,0,1237.4585294176159
Americas,2002,Maize (corn),317415516.51,,Americas,854486145.0,0,0,371.46947129259775
Americas,2002,Maize (corn),317415516.51,,Northern America,318744898.0,0,0,995.8293246469469
Americas,2002,Maize (corn),317415516.51,,Central America,139331995.0,0,0,2278.123675111377
Americas,2002,Maize (corn),317415516.51,,Caribbean,38950821.0,0,0,8149.1354575042205
Americas,2002,Maize (corn),317415516.51,,South America,357458431.0,0,0,887.9788221025342
Americas,2002,Maize (corn),317415516.51,,Asia,3848340935.0,0,0,82.48113196602733
Americas,2002,Maize (corn),317415516.51,,Central Asia,57474045.0,0,0,5522.7627794424425
Americas,2002,Maize (corn),317415516.51,,Eastern Asia,1517938928.0,0,0,209.1095436416662
Americas,2002,Maize (corn),317415516.51,,Southern Asia,1535196779.0,0,0,206.7588473685822
Americas,2002,Maize (corn),317415516.51,,South-eastern Asia,542363453.0,0,0,585.2450321906185
Americas,2002,Maize (corn),317415516.51,,Western Asia,195367728.0,0,0,1624.7080301307492
Americas,2002,Maize (corn),317415516.51,,Europe,729125843.0,0,0,435.33708146180743
Americas,2002,Maize (corn),317415516.51,,Eastern Europe,302250148.0,0,0,1050.1748919242877
